X,genus,X,species,subttype,subtaxa,native_status,rarity_status,invasive_status
,Hieracium,X,floribundum,,,N,,
,Hieracium,,longipilum,,,N,W,
,Hieracium,,pilosella,,,I,,
,Hieracium,,piloselloides,,,I,,
,Hieracium,,scabrum,,,N,,
,Hieracium,,umbellatum,,,N,,
,Hieracium,,vulgatum,,,I,,
,Inula,,helenium,,,I,,
,Krigia,,biflora,,,N,,
,Lactuca,,biennis,,,N,,
,Lactuca,,canadensis,,,N,,
,Lactuca,,floridana,,,N,H,
,Lactuca,,ludoviciana,,,N,,
,Lactuca,,serriola,,,I,,
,Lapsana,,communis,,,I,,
,Leucanthemella,,serotina,,,I,,
,Leucanthemum,,vulgare,,,I,,
,Liatris,,aspera,,,N,,
,Liatris,,cylindracea,,,N,,
,Liatris,,ligulistylis,,,N,,
,Liatris,,punctata,var.,punctata,N,,
,Liatris,,pycnostachya,var.,pycnostachya,N,,
,Logfia,,arvensis,,,I,,
,Lygodesmia,,juncea,,,N,,
,Madia,,glomerata,,,I,,
,Matricaria,,chamomilla,,,I,,
,Matricaria,,discoidea,,,I,,
,Mulgedium,,pulchellum,,,N,,
,Nothocalais,,cuspidata,,,N,,
,Packera,,aurea,,,N,,
,Packera,,cana,,,N,E,
,Packera,,indecora,,,N,E,
,Packera,,paupercula,,,N,,
,Packera,,plattensis,,,N,,
,Packera,,pseudaurea,var.,semicordata,N,,
,Parthenium,,integrifolium,,,N,E,
,Petasites,,frigidus,,,N,,
,Petasites,,frigidus,var.,palmatus,N,,
,Petasites,,frigidus,var.,sagittatus,N,,
,Petasites,,frigidus,var.,vitifolius,N,,
,Polymnia,,canadensis,,,N,,
,Prenanthes,,alba,,,N,,
,Prenanthes,,aspera,,,N,,
,Prenanthes,,crepidinea,,,N,H,
,Prenanthes,,racemosa,,,N,,
,Pseudognaphalium,,macounii,,,N,,
,Pseudognaphalium,,obtusifolium,,,N,,
,Ratibida,,columnifera,,,N,,
,Ratibida,,pinnata,,,N,,
,Rudbeckia,,hirta,var.,pulcherrima,N,,
,Rudbeckia,,laciniata,var.,laciniata,N,,
,Rudbeckia,,subtomentosa,,,N,W,
,Rudbeckia,,triloba,var.,triloba,N,T,
,Senecio,,integerrimus,var.,integerrimus,N,,
,Senecio,,vulgaris,,,I,,
,Shinnersoseris,,rostrata,,,N,T,
,Silphium,,laciniatum,,,N,,
,Silphium,,perfoliatum,var.,perfoliatum,N,,
,Solidago,,altissima,,,N,,
,Solidago,,altissima,subsp.,altissima,N,,
,Solidago,,altissima,subsp.,gilvocanescens,N,,
,Solidago,X,bernardii,,,N,,
,Solidago,,canadensis,,,N,,
,Solidago,,canadensis,var.,canadensis,N,,
,Solidago,,canadensis,var.,hargeri,N,,
,Solidago,,flexicaulis,,,N,,
,Solidago,,gigantea,,,N,,
,Solidago,,hispida,,,N,,
,Solidago,,juncea,,,N,,
,Solidago,,missouriensis,,,N,,
,Solidago,,mollis,,,N,SC,
,Solidago,,nemoralis,,,N,,
,Solidago,,nemoralis,subsp.,decemflora,N,,
,Solidago,,nemoralis,subsp.,nemoralis,N,,
,Solidago,,ptarmicoides,,,N,,
,Solidago,,riddellii,,,N,,
,Solidago,,rigida,,,N,,
,Solidago,,rigida,subsp.,humilis,N,,
,Solidago,,rigida,subsp.,rigida,N,,
,Solidago,,sciaphila,,,N,,
,Solidago,,speciosa,,,N,,
,Solidago,,speciosa,var.,rigidiuscula,N,,
,Solidago,,speciosa,var.,speciosa,N,,
,Solidago,,uliginosa,,,N,,
,Solidago,,ulmifolia,var.,ulmifolia,N,,
,Sonchus,,arvensis,,,I,,PS
,Sonchus,,arvensis,subsp.,arvensis,I,,PS
,Sonchus,,arvensis,subsp.,uliginosus,I,,PS
,Sonchus,,asper,,,I,,
,Sonchus,,oleraceus,,,I,,
,Symphyotrichum,X,amethystinum,,,N,,
,Symphyotrichum,,boreale,,,N,,
,Symphyotrichum,,ciliatum,,,I,,
,Symphyotrichum,,ciliolatum,,,N,,
,Symphyotrichum,,cordifolium,,,N,,
,Symphyotrichum,,drummondii,var.,drummondii,N,,
,Symphyotrichum,,ericoides,,,N,,
