X,genus,X,species,subttype,subtaxa,germcode
,Bidens,,aristosa,,,"C(60)"
,Bidens,,cernua,,,"C(60)"
,Bidens,,connata,,,"C(60)"
,Bidens,,frondosa,,,"C(60)"
,Bidens,,polylepis,,,"C(60)"
,Blephilia,,ciliata,,,"C(60)"
,Blephilia,,hirsuta,,,"C(60)"
,Boltonia,,asteroides,,,"C(60)"
,Boltonia,,decurrens,,,"C(60)"
,Calla,,palustris,,,"C(60)"
,Callirhoe,,triangulata,,,"C(60)"
,Caltha,,palustris,,,"C(60)"
,Camassia,,angusta,,,"C(60)"
,Castilleja,,coccinea,,,"C(60)"
,Castilleja,,sessiliflora,,,"C(60)"
,Ceanothus,,americanus,,,"C(60)"
,Ceanothus,,ovatus,,,"C(60)"
,Chamaenerion,,angustifolium,,,"C(60)"
,Chrysopsis,,villosa,,,"C(60)"
,Cirsium,,discolor,,,"C(60)"
,Conoclinium,,coelestinum,,,"C(60)"
,Coreopsis,,palmata,,,"C(60)"
,Coreopsis,,tripteris,,,"C(60)"
,Cryptotaenia,,canadensis,,,"C(60)"
,Dasistoma,,macrophylla,,,"C(60)"
,Delphinium,,carolinianum,,,"C(60)"
,Delphinium,,exaltatum,,,"C(60)"
,Delphinium,,virescens,,,"C(60)"
,Dodecatheon,,amethystinum,,,"C(60)"
,Doellingeria,,umbellata,,,"C(60)"
,Drymocallis,,arguta,,,"C(60)"
,Echinacea,,paradoxa,,,"C(60)"
,Echinacea,,simulata,,,"C(60)"
,Echinacea,,tennesseensis,,,"C(60)"
,Echinocystis,,lobata,,,"C(60)"
,Epilobium,,coloratum,,,"C(60)"
,Epilobium,,glandulosum,,,"C(60)"
,Erigeron,,pulchellus,,,"C(60)"
,Eryngium,,yuccifolium,,,"C(60)"
,Eupatorium,,altissimum,,,"C(60)"
,Eupatorium,,hyssopifolium,,,"C(60)"
,Eupatorium,,serotinum,,,"C(60)"
,Eurybia,,divaricata,,,"C(60)"
,Eurybia,,macrophylla,,,"C(60)"
,Euthamia,,graminifolia,,,"C(60)"
,Euthamia,,gymnospermoides,,,"C(60)"
,Eutrochium,,fistulosum,,,"C(60)"
,Fragaria,,virginiana,,,"C(60)"
,Froelichia,,floridana,,,"C(60)"
,Galium,,concinnum,,,"C(60)"
,Gaura,,biennis,,,"C(60)"
,Gaura,,coccinea,,,"C(60)"
,Gaura,,longiflora,,,"C(60)"
,Gentiana,,andrewsii,,,"C(60)"
,Gentiana,,flavida,,,"C(60)"
,Gentiana,,puberulenta,,,"C(60)"
,Gentianella,,quinquefolia,,,"C(60)"
,Gentianopsis,,crinita,,,"C(60)"
,Geranium,,maculatum,,,"C(60)"
,Geum,,aleppicum,,,"C(60)"
,Geum,,canadense,,,"C(60)"
,Geum,,triflorum,,,"C(60)"
,Hasteola,,suaveolens,,,"C(60)"
,Hibiscus,,laevis,,,"C(60)"
,Hibiscus,,lasiocarpos,,,"C(60)"
,Hibiscus,,moscheutos,,,"C(60)"
,Hydrophyllum,,virginianum,,,"C(60)"
,Hypericum,,majus,,,"C(60)"
,Hypericum,,punctatum,,,"C(60)"
,Hypericum,,pyramidatum,,,"C(60)"
,Hypericum,,sphaerocarpum,,,"C(60)"
,Iliamna,,remota,,,"C(60)"
,Isopyrum,,biternatum,,,"C(60)"
,Krigia,,biflora,,,"C(60)"
,Liatris,,aspera,,,"C(60)"
,Liatris,,cylindracea,,,"C(60)"
,Liatris,,ligulistylis,,,"C(60)"
,Liatris,,pycnostachya,,,"C(60)"
,Liatris,,scariosa,var.,nieuwlandii,"C(60)"
,Liatris,,spicata,,,"C(60)"
,Liatris,,squarrosa,,,"C(60)"
,Lilium,,philadelphicum,,,"C(60)"
,Lobelia,,cardinalis,,,"C(60)"
,Lobelia,,inflata,,,"C(60)"
,Lobelia,,siphilitica,,,"C(60)"
,Lobelia,,spicata,,,"C(60)"
,Ludwigia,,alternifolia,,,"C(60)"
